,rolling_granger_pvalue
2022-02-22 00:00:00+00:00,2.0282709919820246e-07
2022-03-01 00:00:00+00:00,1.2607971917464037e-06
2022-03-08 00:00:00+00:00,6.371851032391593e-07
2022-03-15 00:00:00+00:00,1.7557805492425668e-06
2022-03-22 00:00:00+00:00,1.8844150605414845e-08
2022-03-29 00:00:00+00:00,5.8446843450492276e-08
2022-04-05 00:00:00+00:00,5.246881762378555e-08
2022-04-12 00:00:00+00:00,1.3882776126539029e-08
2022-04-19 00:00:00+00:00,7.631071957835714e-09
2022-04-26 00:00:00+00:00,3.843238333534577e-08
2022-05-03 00:00:00+00:00,4.6502509126479974e-08
2022-05-10 00:00:00+00:00,1.1305384694744688e-07
2022-05-17 00:00:00+00:00,1.0790506166520379e-06
2022-05-24 00:00:00+00:00,9.913814791764202e-07
2022-05-31 00:00:00+00:00,3.0079882624511383e-07
2022-06-07 00:00:00+00:00,3.7663919767859755e-07
2022-06-14 00:00:00+00:00,2.287595439723343e-06
2022-06-21 00:00:00+00:00,3.2405201181684347e-06
2022-06-28 00:00:00+00:00,2.9571263093309164e-06
2022-07-05 00:00:00+00:00,4.866604940089028e-06
2022-07-12 00:00:00+00:00,5.649943848047274e-06
2022-07-19 00:00:00+00:00,5.888616138107999e-06
2022-07-26 00:00:00+00:00,1.4740430460542199e-05
2022-08-02 00:00:00+00:00,1.934218783105746e-05
2022-08-09 00:00:00+00:00,2.2827097303832923e-05
2022-08-16 00:00:00+00:00,8.963571495209406e-06
2022-08-23 00:00:00+00:00,3.7681511444759254e-06
2022-08-30 00:00:00+00:00,7.86701259232298e-06
2022-09-06 00:00:00+00:00,2.1961618696926145e-06
2022-09-13 00:00:00+00:00,7.335847634269131e-06
2022-09-20 00:00:00+00:00,3.2398315182894363e-06
2022-09-27 00:00:00+00:00,2.77060184433254e-06
2022-10-04 00:00:00+00:00,6.186682806663838e-06
2022-10-11 00:00:00+00:00,8.762468242757463e-06
2022-10-18 00:00:00+00:00,5.62722267494863e-06
2022-10-25 00:00:00+00:00,1.029646331262595e-05
2022-11-01 00:00:00+00:00,1.2721577429674907e-05
2022-11-08 00:00:00+00:00,1.2430811823047639e-05
2022-11-15 00:00:00+00:00,3.4127927452703064e-06
2022-11-22 00:00:00+00:00,5.775511412310348e-07
2022-11-29 00:00:00+00:00,6.106609342272929e-07
2022-12-06 00:00:00+00:00,1.6811654109970914e-06
2022-12-13 00:00:00+00:00,1.4794115642701472e-06
2022-12-20 00:00:00+00:00,2.0941645673984774e-06
2022-12-27 00:00:00+00:00,6.563998202736579e-07
2023-01-03 00:00:00+00:00,8.150297342476389e-07
2023-01-10 00:00:00+00:00,1.6910120452512924e-06
2023-01-17 00:00:00+00:00,2.5000391654548028e-06
2023-01-24 00:00:00+00:00,2.2037089044088313e-06
2023-01-31 00:00:00+00:00,2.846034161462726e-06
2023-02-07 00:00:00+00:00,2.7452011802763557e-05
2023-02-14 00:00:00+00:00,3.598250708328677e-05
2023-02-21 00:00:00+00:00,2.039138821240264e-05
2023-02-28 00:00:00+00:00,1.1715886742978071e-05
2023-03-07 00:00:00+00:00,2.795322226426633e-05
2023-03-14 00:00:00+00:00,2.388630751377862e-05
2023-03-21 00:00:00+00:00,1.4110888230718618e-05
2023-03-28 00:00:00+00:00,3.9639543315331755e-05
2023-04-04 00:00:00+00:00,2.7138857493438892e-05
2023-04-11 00:00:00+00:00,1.8282805252595658e-05
2023-04-18 00:00:00+00:00,1.8596316909698346e-05
2023-04-25 00:00:00+00:00,1.6633769021266797e-05
2023-05-02 00:00:00+00:00,1.8844751509489676e-05
2023-05-09 00:00:00+00:00,4.003063495354915e-05
2023-05-16 00:00:00+00:00,2.5590568862702695e-05
2023-05-23 00:00:00+00:00,2.160293601883188e-05
2023-05-30 00:00:00+00:00,0.0001228691597155281
2023-06-06 00:00:00+00:00,4.953044520217335e-05
2023-06-13 00:00:00+00:00,5.356820878820391e-05
2023-06-20 00:00:00+00:00,3.9638833454699654e-05
2023-06-27 00:00:00+00:00,0.00014330159645257166
2023-07-04 00:00:00+00:00,0.00014029067383615463
2023-07-11 00:00:00+00:00,0.00014302510161068495
2023-07-18 00:00:00+00:00,0.0001124609448938646
2023-07-25 00:00:00+00:00,4.1246070995635644e-05
2023-08-01 00:00:00+00:00,2.990634995877236e-05
2023-08-08 00:00:00+00:00,7.664563776188197e-06
2023-08-15 00:00:00+00:00,3.618481359542217e-06
2023-08-22 00:00:00+00:00,2.424217436265474e-06
2023-08-29 00:00:00+00:00,1.4135405112473268e-06
2023-09-05 00:00:00+00:00,1.2559898219042218e-06
2023-09-12 00:00:00+00:00,2.9452204358431664e-07
2023-09-19 00:00:00+00:00,1.5941446212160481e-06
2023-09-26 00:00:00+00:00,2.0168281351213866e-06
2023-10-03 00:00:00+00:00,2.6659276067074992e-06
2023-10-10 00:00:00+00:00,1.0774427264283147e-05
2023-10-17 00:00:00+00:00,2.727122090668041e-07
2023-10-24 00:00:00+00:00,1.297462093263047e-07
2023-10-31 00:00:00+00:00,1.2861991811238008e-06
2023-11-07 00:00:00+00:00,2.106168618469577e-06
2023-11-14 00:00:00+00:00,4.769997429749559e-06
2023-11-21 00:00:00+00:00,2.3837104132604194e-05
2023-11-28 00:00:00+00:00,2.416265453075043e-05
2023-12-05 00:00:00+00:00,2.8830731842283393e-05
2023-12-12 00:00:00+00:00,2.935056597378959e-05
2023-12-19 00:00:00+00:00,3.8549046212629434e-06
2023-12-26 00:00:00+00:00,1.24113864130711e-06
2024-01-02 00:00:00+00:00,9.292717743470946e-07
2024-01-09 00:00:00+00:00,1.656691967095505e-07
2024-01-16 00:00:00+00:00,2.2386749627039007e-07
2024-01-23 00:00:00+00:00,3.357402292178458e-08
2024-01-30 00:00:00+00:00,4.203543852314519e-08
2024-02-06 00:00:00+00:00,7.305665295494559e-08
2024-02-13 00:00:00+00:00,3.1456340542167436e-08
2024-02-20 00:00:00+00:00,8.256696333191372e-08
2024-02-27 00:00:00+00:00,1.3167398855286052e-07
2024-03-05 00:00:00+00:00,2.9801615751206953e-07
2024-03-12 00:00:00+00:00,1.2238480357329117e-06
2024-03-19 00:00:00+00:00,9.417043111816744e-06
2024-03-26 00:00:00+00:00,3.3588922740729654e-06
2024-04-02 00:00:00+00:00,3.2379740770258295e-05
2024-04-09 00:00:00+00:00,6.631166435451546e-05
2024-04-16 00:00:00+00:00,1.1344988273186282e-05
2024-04-23 00:00:00+00:00,2.6490931765125063e-05
2024-04-30 00:00:00+00:00,7.93942853787822e-05
2024-05-07 00:00:00+00:00,3.2474556662632264e-05
2024-05-14 00:00:00+00:00,1.1847501021243507e-05
2024-05-21 00:00:00+00:00,0.00017160421325845303
2024-05-28 00:00:00+00:00,0.0007157172644712429
2024-06-04 00:00:00+00:00,0.0007019307351268883
2024-06-11 00:00:00+00:00,0.0003056702389096996
2024-06-18 00:00:00+00:00,0.0001899778422635429
2024-06-25 00:00:00+00:00,0.00014769760993685576
2024-07-02 00:00:00+00:00,0.00036759086979813255
2024-07-09 00:00:00+00:00,0.0011777971555713956
2024-07-16 00:00:00+00:00,0.0013025710342404082
2024-07-23 00:00:00+00:00,0.0022368050210070023
2024-07-30 00:00:00+00:00,0.0033496361755984945
2024-08-06 00:00:00+00:00,0.00668757403300343
2024-08-13 00:00:00+00:00,0.007983569940602455
2024-08-20 00:00:00+00:00,0.019480261693544068
2024-08-27 00:00:00+00:00,0.001826283851184225
2024-09-03 00:00:00+00:00,0.0016966623624194285
2024-09-10 00:00:00+00:00,0.0008401786231678726
2024-09-17 00:00:00+00:00,0.001372757646340505
2024-09-24 00:00:00+00:00,0.0006107690506872443
2024-10-01 00:00:00+00:00,0.000523098637701843
2024-10-08 00:00:00+00:00,5.9430550217182646e-05
2024-10-15 00:00:00+00:00,1.333616981495796e-05
2024-10-22 00:00:00+00:00,1.7205417848256359e-06
2024-10-29 00:00:00+00:00,1.4146672168328353e-07
2024-11-05 00:00:00+00:00,1.5184061780967927e-07
2024-11-12 00:00:00+00:00,8.126320658874128e-09
2024-11-19 00:00:00+00:00,1.2280624490300267e-08
2024-11-26 00:00:00+00:00,2.3712187100073347e-08
2024-12-03 00:00:00+00:00,2.971427472526799e-08
2024-12-10 00:00:00+00:00,5.475649389702761e-08
2024-12-17 00:00:00+00:00,8.668882337659282e-08
2024-12-24 00:00:00+00:00,1.933606409696739e-08
2024-12-31 00:00:00+00:00,8.816643405361543e-08
2025-01-07 00:00:00+00:00,1.6967503918904796e-07
2025-01-14 00:00:00+00:00,1.9090466235953038e-07
2025-01-21 00:00:00+00:00,2.597547648979948e-07
2025-01-28 00:00:00+00:00,2.5932405977176944e-07
2025-02-04 00:00:00+00:00,2.3694470784481334e-06
2025-02-11 00:00:00+00:00,3.3240782496358298e-06
2025-02-18 00:00:00+00:00,1.4763521864210846e-06
2025-02-25 00:00:00+00:00,2.403211702447163e-06
2025-03-04 00:00:00+00:00,8.180404453276766e-06
2025-03-11 00:00:00+00:00,1.9569174074927533e-05
2025-03-18 00:00:00+00:00,1.3631479814529565e-05
2025-03-25 00:00:00+00:00,1.1249023406217782e-05
2025-04-01 00:00:00+00:00,4.07599840287583e-06
2025-04-08 00:00:00+00:00,1.3203782918350009e-06
2025-04-15 00:00:00+00:00,1.7693516082130222e-05
2025-04-22 00:00:00+00:00,5.3863328776173545e-05
2025-04-29 00:00:00+00:00,2.9141325972791285e-05
2025-05-06 00:00:00+00:00,0.00011613325986181405
2025-05-13 00:00:00+00:00,0.0011609554919065745
2025-05-20 00:00:00+00:00,0.00035598706944545567
2025-05-27 00:00:00+00:00,0.00010943450942476192
2025-06-03 00:00:00+00:00,4.514353718300911e-05
2025-06-10 00:00:00+00:00,0.00015169780088361996
2025-06-17 00:00:00+00:00,0.00015109817063518747
2025-06-24 00:00:00+00:00,9.584893972023447e-05
2025-07-01 00:00:00+00:00,4.927075010412183e-05
2025-07-08 00:00:00+00:00,0.00019570863720938877
2025-07-15 00:00:00+00:00,0.00020257603820463576
2025-07-22 00:00:00+00:00,0.00028156050175414044
2025-07-29 00:00:00+00:00,0.00029316231561354915
2025-08-05 00:00:00+00:00,0.0002758505251287362
2025-08-12 00:00:00+00:00,0.00011748367982230658
2025-08-19 00:00:00+00:00,3.1554836894639767e-05
2025-08-26 00:00:00+00:00,2.5639814619468926e-05
2025-09-02 00:00:00+00:00,2.6324208977776765e-05
2025-09-09 00:00:00+00:00,8.090542968861172e-06
2025-09-16 00:00:00+00:00,1.0602667176946642e-05
2025-09-23 00:00:00+00:00,1.38553446861505e-06
2025-09-30 00:00:00+00:00,1.8845101004250686e-06
2025-10-07 00:00:00+00:00,5.293475659531765e-06
2025-10-14 00:00:00+00:00,2.3735047157705864e-05
2025-10-21 00:00:00+00:00,5.2695992995978016e-05
2025-10-28 00:00:00+00:00,0.00020593717550270235
2025-11-04 00:00:00+00:00,0.0001757226545358085
2025-11-11 00:00:00+00:00,0.00032335380620645475
2025-11-18 00:00:00+00:00,0.0005186994574253026
2025-11-25 00:00:00+00:00,0.0005807303275117056
2025-12-02 00:00:00+00:00,0.000572221566176206
2025-12-09 00:00:00+00:00,0.0006586341885533952
2025-12-16 00:00:00+00:00,0.0017791555738200144
2025-12-23 00:00:00+00:00,0.0018953361175429926
2025-12-30 00:00:00+00:00,0.0019435766088186542
2026-01-06 00:00:00+00:00,0.0011386091714217278
2026-01-13 00:00:00+00:00,0.0009530483524493375
2026-01-20 00:00:00+00:00,0.000954855154336156
2026-01-27 00:00:00+00:00,0.000588617707991886
2026-02-03 00:00:00+00:00,0.0001445612926029609
2026-02-10 00:00:00+00:00,7.072318626389056e-05
2026-02-17 00:00:00+00:00,6.824248988391315e-05
2026-02-24 00:00:00+00:00,1.9876432347142592e-05
2026-03-03 00:00:00+00:00,1.2317467527931787e-05
2026-03-10 00:00:00+00:00,2.6135800984402045e-05
2026-03-17 00:00:00+00:00,1.2166706842910688e-05
2026-03-24 00:00:00+00:00,1.0782145933005913e-05
2026-03-31 00:00:00+00:00,3.710869264478029e-06
2026-04-07 00:00:00+00:00,1.312882279029014e-06
2026-04-14 00:00:00+00:00,8.721072082473475e-08
2026-04-21 00:00:00+00:00,8.750671310085233e-08
2026-04-28 00:00:00+00:00,5.746990525779662e-10
